key,ko,eng,correct,time,part
0,"옛날 옛적에, 하늘에서 한 방울의 햇빛이 떨어졌습니다.","Once upon a time, a single drop of sunlight fell from the heavens.",1,2022-08-30 11:05:47.287160,tangel_1
1,그리고 이 작은 한 방울의 태양으로부터 마법의 황금 꽃이 자라났다.,"And from this small drop of sun, grew a magic, golden flower.",1,2022-08-30 11:05:50.425957,tangel_1
2,"그리고 여왕은, 음, 그녀는 아기를 가지려고 했지만, 그녀는 아팠다.","and the Queen, well, she was about to have a baby, but she got sick",1,2022-08-30 11:05:50.896378,tangel_1
3,그녀는 시간이 촉박했다.,she was runnig out of time,1,2022-08-30 11:05:49.529199,tangel_1
4,그때 사람들은 보통 기적을 찾기 시작한다.,that's when people usually start to look for a miracle,1,2022-08-30 11:05:49.070134,tangel_1
5,"그녀는 그것에 맞춰 노래하고, 젊어집니다. 소름끼치죠?","she sings to it, she turns young. Creepy, right?",1,2022-08-30 11:05:48.180165,tangel_1
6,"건강한 여자아이, 공주가 태어났다.","A healthy baby girl, a princess was born.",1,2022-08-30 11:05:47.755467,tangel_1
7,하지만 이번에는 그걸 숨기기로 결심했어요,"But this time, she was determined to keep it hidden",1,2022-08-30 11:05:49.974498,tangel_1
8,바깥 세상은 끔찍하고 이기적인 사람들로 가득 찬 위험한 곳이다.,"The outside world is a dangerous place, filled with horrible, selfish people.",1,2022-08-30 11:05:48.620047,tangel_1
9,"매년, 그녀의 생일날, 왕과 왕비는 수천개의 등불을 하늘로 날려보냈다.","Each year, on her birthday, the King and Queen released thousands of lanterns into the sky",1,2022-08-30 11:05:51.335989,tangel_1
